Time,SentenceId,GazeX,GazeY,GazeNearestKey,TouchOn,TouchX,TouchY,CenterGridX,CenterGridY,CenterKeyLabel,SelectedKeyLabel,CharacterToBeTyped,TypeFlag,CharacterTyped,InBreak,ThreeByThreeDisplayed,CorrectKeyInThreeByThree
0.000,7,914.16,0.17,,0,0.00,0.00,0.00,0.00,,,i,0,,0,0,0
0.014,7,914.73,10.14,,0,0.00,0.00,0.00,0.00,,,i,0,,0,0,0
0.026,7,915.15,17.55,,0,0.00,0.00,0.00,0.00,,,i,0,,0,0,0
0.042,7,915.33,20.67,,0,0.00,0.00,0.00,0.00,,,i,0,,0,0,0
0.055,7,915.41,21.99,,0,0.00,0.00,0.00,0.00,,,i,0,,0,0,0
0.068,7,915.44,22.55,,0,0.00,0.00,0.00,0.00,,,i,0,,0,0,0
0.079,7,915.45,22.65,,0,0.00,0.00,0.00,0.00,,,i,0,,0,0,0
0.092,7,915.46,22.82,,0,0.00,0.00,0.00,0.00,,,i,0,,0,0,0
0.105,7,912.97,37.62,,0,0.00,0.00,0.00,0.00,,,i,0,,0,0,0
0.117,7,911.13,48.59,,0,0.00,0.00,0.00,0.00,,,i,0,,0,0,0
0.129,7,910.54,52.10,,0,0.00,0.00,0.00,0.00,,,i,0,,0,0,0
0.143,7,910.10,54.70,,0,0.00,0.00,0.00,0.00,,,i,0,,0,0,0
0.157,7,932.58,64.92,,0,0.00,0.00,0.00,0.00,,,i,0,,0,0,0
0.175,7,942.06,69.24,,0,0.00,0.00,0.00,0.00,,,i,0,,0,0,0
0.188,7,945.09,70.62,,0,0.00,0.00,0.00,0.00,,,i,0,,0,0,0
0.200,7,946.79,71.39,,0,0.00,0.00,0.00,0.00,,,i,0,,0,0,0
0.211,7,947.75,71.83,,0,0.00,0.00,0.00,0.00,,,i,0,,0,0,0
0.225,7,948.46,72.15,,0,0.00,0.00,0.00,0.00,,,i,0,,0,0,0
0.237,7,961.48,91.51,,0,0.00,0.00,0.00,0.00,,,i,0,,0,0,0
0.251,7,972.93,108.53,,0,0.00,0.00,0.00,0.00,,,i,0,,0,0,0
0.264,7,976.55,113.92,,0,0.00,0.00,0.00,0.00,,,i,0,,0,0,0
0.279,7,977.52,115.36,,0,0.00,0.00,0.00,0.00,,,i,0,,0,0,0
0.294,7,977.92,115.96,,0,0.00,0.00,0.00,0.00,,,i,0,,0,0,0
0.306,7,978.10,116.22,,0,0.00,0.00,0.00,0.00,,,i,0,,0,0,0
0.320,7,1011.65,101.73,,0,0.00,0.00,0.00,0.00,,,i,0,,0,0,0
0.334,7,1036.57,90.93,,0,0.00,0.00,0.00,0.00,,,i,0,,0,0,0
0.346,7,1047.08,86.37,,0,0.00,0.00,0.00,0.00,,,i,0,,0,0,0
0.359,7,1051.52,84.45,,0,0.00,0.00,0.00,0.00,,,i,0,,0,0,0
0.373,7,1053.39,83.64,,0,0.00,0.00,0.00,0.00,,,i,0,,0,0,0
0.387,7,1084.37,133.78,,0,0.00,0.00,0.00,0.00,,,i,0,,0,0,0
0.402,7,1137.08,221.18,b,0,0.00,0.00,0.00,0.00,,,i,0,,0,0,0
0.415,7,1159.32,258.06,n,0,0.00,0.00,0.00,0.00,,,i,0,,0,0,0
0.430,7,1168.70,273.61,n,0,0.00,0.00,0.00,0.00,,,i,0,,0,0,0
0.443,7,1172.66,280.18,n,0,0.00,0.00,0.00,0.00,,,i,0,,0,0,0
0.457,7,1222.69,278.71,n,0,0.00,0.00,0.00,0.00,,,i,0,,0,0,0
0.469,7,1259.35,276.72,n,0,0.00,0.00,0.00,0.00,,,i,0,,0,0,0
0.482,7,1274.82,275.89,n,0,0.00,0.00,0.00,0.00,,,i,0,,0,0,0
0.496,7,1281.34,275.53,n,0,0.00,0.00,0.00,0.00,,,i,0,,0,0,0
0.508,7,1284.09,275.39,n,0,0.00,0.00,0.00,0.00,,,i,0,,0,0,0
0.525,7,1309.76,310.13,n,0,0.00,0.00,0.00,0.00,,,i,0,,0,0,0
0.541,7,1331.88,340.69,n,0,0.00,0.00,0.00,0.00,,,i,0,,0,0,0
0.554,7,1337.80,348.87,n,0,0.00,0.00,0.00,0.00,,,i,0,,0,0,0
0.568,7,1340.30,352.32,n,0,0.00,0.00,0.00,0.00,,,i,0,,0,0,0
