ParticipantID,Condition,PhraseID,SentenceNumber,TargetText,TypedText,TaskTime,TypingTime,TimeToFirstKey,SubmitLatency,TaskWPM,TypingWPM,CorrectChars,IncorrectChars,TER
11,GazeTouch,13,1,did you talk to ava this morning,did you talk to ava this morning,42.15,38.43,1.58,0.00,8.83,9.68,32,0,0.00
11,GazeTouch,18,2,ill get you one,i e get you one,19.40,15.88,2.39,0.00,8.66,10.58,13,2,0.13
11,GazeTouch,29,3,what is the mood,what is themopod,22.25,19.92,1.45,0.00,8.09,9.04,13,3,0.19
11,GazeTouch,21,4,you can talk to becky,you can talk to becky,25.14,22.46,1.69,0.00,9.55,10.68,21,0,0.00
11,GazeTouch,4,5,i think that is the right answer,i thinl that is the right answer,44.91,42.74,1.06,0.00,8.28,8.70,31,1,0.03
11,GazeTouch,9,6,i hope you are feeling better,i hope yku are feeling better,48.28,43.59,3.16,0.00,6.96,7.71,28,1,0.03
11,GazeTouch,20,7,whats going on,whats going on,25.99,19.55,4.30,0.00,6.00,7.98,14,0,0.00
11,GazeTouch,6,8,this looks fine,this looks finq,21.61,18.64,1.78,0.00,7.77,9.01,14,1,0.07
11,GazeTouch,1,9,have i mentioned how much i love houston traffic,have i mentionedhyww much i loce houston traffic,69.78,66.43,2.31,0.00,8.08,8.49,44,4,0.08
11,GazeTouch,24,10,i am at the lake,i am at the lake,22.22,16.69,4.44,0.00,8.10,10.79,16,0,0.00
11,GazeTouch,5,11,im glad you liked it,im glad you liked ir,23.04,20.31,1.22,0.00,9.89,11.23,19,1,0.05
11,GazeTouch,14,12,can you help,t n you help,13.17,11.00,0.74,0.00,10.02,12.00,10,2,0.17
11,GazeTouch,17,13,is it over,is it kner,10.86,8.39,1.40,0.00,9.95,12.87,8,2,0.20
11,GazeTouch,19,14,ok with me,ok with me,9.89,7.15,1.97,0.00,10.92,15.09,10,0,0.00
11,GazeTouch,10,15,im glad she likes her tree,im glad she likes hwr tree,26.67,24.35,1.16,0.00,11.25,12.32,25,1,0.04
11,GazeTouch,27,16,thanks for your concern,thanms for your concern,27.95,23.63,3.52,0.00,9.45,11.17,22,1,0.04
11,GazeTouch,16,17,has anyone else heard anything,has anyobe else heard a hthing,30.92,28.78,1.34,0.00,11.25,12.09,27,3,0.10
11,GazeTouch,30,18,i am on my way,i am on my way,15.48,13.29,1.38,0.00,10.08,11.74,14,0,0.00
11,GazeTouch,28,19,thursday works better for me,thursday works better for mw,27.48,25.26,1.02,0.00,11.79,12.83,27,1,0.04
11,GazeTouch,11,20,are you getting all the information you need,are you frtting almttne information you need,57.01,53.72,2.53,0.00,9.05,9.61,39,5,0.11
11,GazeTouch,3,21,should systems manage the migration,should systems manage the migration,39.76,37.53,1.02,0.00,10.26,10.87,35,0,0.00
11,GazeTouch,26,22,wednesday is definitely a hot chocolate day,wednesday is definitely a hot choxolate day,57.31,50.52,5.85,0.00,8.79,9.98,42,1,0.02
11,GazeTouch,23,23,i agreed terms with greg,i agreed terms with greg,25.69,23.21,1.49,0.00,10.74,11.89,24,0,0.00
11,GazeTouch,8,24,get with mary for format,get wirh mary for foemat,28.83,26.39,1.71,0.00,9.57,10.46,22,2,0.08
11,GazeTouch,7,25,ive never worked with her,ive never workwd with her,27.85,25.46,1.47,0.00,10.34,11.31,24,1,0.04
11,GazeTouch,22,26,i talked to duran,i takked to duran,20.08,17.39,1.87,0.00,9.56,11.04,16,1,0.06
11,GazeTouch,2,27,take what you can get,take what you can get,19.82,17.74,0.98,0.00,12.11,13.53,21,0,0.00
11,GazeTouch,25,28,i told you silly,u told you silly,17.83,15.17,1.71,0.00,10.09,11.87,15,1,0.06
11,GazeTouch,15,29,its not looking too good is it,its not looking toi goodbis it,35.56,32.99,1.42,0.00,9.79,10.55,28,2,0.07
11,GazeTouch,12,30,have a great trip,have a great trip,17.13,14.20,2.06,0.00,11.21,13.52,17,0,0.00
