Time,SentenceId,GazeX,GazeY,GazeNearestKey,TouchOn,TouchX,TouchY,CenterGridX,CenterGridY,CenterKeyLabel,SelectedKeyLabel,CharacterToBeTyped,TypeFlag,CharacterTyped,InBreak,ThreeByThreeDisplayed,CorrectKeyInThreeByThree
0.000,15,326.19,712.56,w,0,0.00,0.00,0.00,0.00,,,i,0,,0,0,0
0.011,15,324.22,714.69,w,0,0.00,0.00,0.00,0.00,,,i,0,,0,0,0
0.023,15,323.12,715.89,w,0,0.00,0.00,0.00,0.00,,,i,0,,0,0,0
0.038,15,322.58,721.08,w,0,0.00,0.00,0.00,0.00,,,i,0,,0,0,0
0.051,15,323.06,728.53,w,0,0.00,0.00,0.00,0.00,,,i,0,,0,0,0
0.065,15,323.26,731.67,w,0,0.00,0.00,0.00,0.00,,,i,0,,0,0,0
0.079,15,323.33,732.68,w,0,0.00,0.00,0.00,0.00,,,i,0,,0,0,0
0.091,15,323.37,733.42,w,0,0.00,0.00,0.00,0.00,,,i,0,,0,0,0
0.108,15,340.37,737.57,w,0,0.00,0.00,0.00,0.00,,,i,0,,0,0,0
0.122,15,347.53,739.33,w,0,0.00,0.00,0.00,0.00,,,i,0,,0,0,0
0.138,15,350.56,740.06,w,0,0.00,0.00,0.00,0.00,,,i,0,,0,0,0
0.149,15,351.83,740.38,w,0,0.00,0.00,0.00,0.00,,,i,0,,0,0,0
0.165,15,372.00,729.75,w,0,0.00,0.00,0.00,0.00,,,i,0,,0,0,0
0.178,15,386.81,721.80,e,0,0.00,0.00,0.00,0.00,,,i,0,,0,0,0
0.193,15,393.06,718.45,e,0,0.00,0.00,0.00,0.00,,,i,0,,0,0,0
0.205,15,395.05,717.38,e,0,0.00,0.00,0.00,0.00,,,i,0,,0,0,0
0.221,15,409.03,690.32,e,0,0.00,0.00,0.00,0.00,,,i,0,,0,0,0
0.234,15,418.94,670.46,e,0,0.00,0.00,0.00,0.00,,,i,0,,0,0,0
0.247,15,423.12,662.08,e,0,0.00,0.00,0.00,0.00,,,i,0,,0,0,0
0.261,15,424.88,658.55,e,0,0.00,0.00,0.00,0.00,,,i,0,,0,0,0
0.275,15,424.48,643.00,e,0,0.00,0.00,0.00,0.00,,,i,0,,0,0,0
0.290,15,422.81,618.01,e,0,0.00,0.00,0.00,0.00,,,i,0,,0,0,0
0.305,15,422.10,607.46,e,0,0.00,0.00,0.00,0.00,,,i,0,,0,0,0
0.318,15,421.80,603.01,e,0,0.00,0.00,0.00,0.00,,,i,0,,0,0,0
0.330,15,421.68,601.13,e,0,0.00,0.00,0.00,0.00,,,i,0,,0,0,0
0.344,15,434.98,586.61,e,0,0.00,0.00,0.00,0.00,,,i,0,,0,0,0
0.356,15,440.60,580.48,e,0,0.00,0.00,0.00,0.00,,,i,0,,0,0,0
0.369,15,446.82,581.40,e,0,0.00,0.00,0.00,0.00,,,i,0,,0,0,0
0.384,15,454.51,586.39,e,0,0.00,0.00,0.00,0.00,,,i,0,,0,0,0
